title,releaseYear,runtimeMins,genre,director,worldwideGross,grossUSA,budget,imdbRating,listRank,url
V for Vendetta,2005,132,Action,James Mcteigue,132511035,70511035,54000000,8.2,116,https://www.imdb.com/title/tt0434409/
The Elephant Man,1980,124,Biography,David Lynch,26023706,26010864,5000000,8.1,117,https://www.imdb.com/title/tt0080678/
Warrior,2011,140,Action,Gavin O'Connor,23308615,13657115,25000000,8.2,118,https://www.imdb.com/title/tt1291584/
The Thing,1982,109,Horror,John Carpenter,19632053,19629760,15000000,8.1,119,https://www.imdb.com/title/tt0084787/
No Country for Old Men,2007,122,Crime,Ethan Coen,171627166,74283625,25000000,8.1,120,https://www.imdb.com/title/tt0477348/
Inside Out,2015,95,Animation,Pete Docter,858071350,356921711,175000000,8.1,121,https://www.imdb.com/title/tt2096673/
Gone with the Wind,1939,238,Drama,Victor Fleming,402352579,200852579,3977000,8.1,122,https://www.imdb.com/title/tt0031381/
The Sixth Sense,1999,107,Drama,M. Night Shyamalan,672806292,293506292,40000000,8.1,123,https://www.imdb.com/title/tt0167404/
Jurassic Park,1993,127,Action,Steven Spielberg,1033928303,404214720,63000000,8.1,124,https://www.imdb.com/title/tt0107290/
Trainspotting,1996,93,Drama,Danny Boyle,16607872,16491080,No info,8.1,125,https://www.imdb.com/title/tt0117951/
The Truman Show,1998,103,Comedy,Peter Weir,264118201,125618201,60000000,8.1,126,https://www.imdb.com/title/tt0120382/
The Bridge on the River Kwai,1957,161,Adventure,David Lean,27200000,27200000,3000000,8.1,127,https://www.imdb.com/title/tt0050212/
The Message,1976,177,Biography,Moustapha Akkad,No info,No info,10000000,8.2,128,https://www.imdb.com/title/tt0074896/
Finding Nemo,2003,100,Animation,Andrew Stanton,940352645,380843261,94000000,8.1,129,https://www.imdb.com/title/tt0266543/
On the Waterfront,1954,108,Crime,Elia Kazan,No info,No info,910000,8.1,130,https://www.imdb.com/title/tt0047296/
Blade Runner,1982,117,Action,Ridley Scott,41676878,32868943,28000000,8.1,131,https://www.imdb.com/title/tt0083658/
The Third Man,1949,104,Film-Noir,Carol Reed,1226797,1067364,No info,8.1,132,https://www.imdb.com/title/tt0041959/
Kill Bill: Vol. 1,2003,111,Action,Quentin Tarantino,180906076,70099045,30000000,8.1,133,https://www.imdb.com/title/tt0266697/
In the Name of the Father,1993,133,Biography,Jim Sheridan,65796862,25096862,13000000,8.1,134,https://www.imdb.com/title/tt0107207/
Mary and Max,2009,92,Animation,Adam Elliot,1740429,No info,No info,8.1,135,https://www.imdb.com/title/tt0978762/
Fargo,1996,98,Crime,Joel Coen,60611975,24611975,7000000,8.1,136,https://www.imdb.com/title/tt0116282/
Room,2015,118,Drama,Lenny Abrahamson,35401758,14677654,13000000,8.1,137,https://www.imdb.com/title/tt3170832/
The Deer Hunter,1978,183,Drama,Michael Cimino,49074329,48979328,15000000,8.1,138,https://www.imdb.com/title/tt0077416/
Gran Torino,2008,116,Drama,Clint Eastwood,269958228,148095302,33000000,8.1,139,https://www.imdb.com/title/tt1205489/
Before Sunrise,1995,101,Drama,Richard Linklater,5987386,5535405,2500000,8.1,140,https://www.imdb.com/title/tt0112471/
Hacksaw Ridge,2016,139,Biography,Mel Gibson,180450918,67209615,40000000,8.1,141,https://www.imdb.com/title/tt2119532/
Mr. Smith Goes to Washington,1939,129,Comedy,Frank Capra,144738,144738,1900000,8.1,142,https://www.imdb.com/title/tt0031679/
Barry Lyndon,1975,185,Adventure,Stanley Kubrick,198992,No info,11000000,8.1,143,https://www.imdb.com/title/tt0072684/
The Grand Budapest Hotel,2014,99,Adventure,Wes Anderson,172945750,59301324,25000000,8.1,144,https://www.imdb.com/title/tt2278388/
Catch Me If You Can,2002,141,Biography,Steven Spielberg,352114312,164615351,52000000,8.1,145,https://www.imdb.com/title/tt0264464/
Gone Girl,2014,149,Drama,David Fincher,369330363,167767189,61000000,8.1,146,https://www.imdb.com/title/tt2267998/
Prisoners,2013,153,Crime,Denis Villeneuve,122126687,61002302,46000000,8.1,147,https://www.imdb.com/title/tt1392214/
Ford v Ferrari,2019,152,Action,James Mangold,225508210,117624357,97600000,8.1,148,https://www.imdb.com/title/tt1950186/
How to Train Your Dragon,2010,98,Animation,Dean Deblois,494879471,217581231,165000000,8.1,149,https://www.imdb.com/title/tt0892769/
The Red Shoes,1948,135,Drama,Michael Powell,30846,No info,No info,8.1,150,https://www.imdb.com/title/tt0040725/
The Big Lebowski,1998,117,Comedy,Joel Coen,46748672,18034458,15000000,8.1,151,https://www.imdb.com/title/tt0118715/
Hachi: A Dog's Tale,2009,93,Biography,Lasse Hallström,46749646,No info,16000000,8.1,152,https://www.imdb.com/title/tt1028532/
12 Years a Slave,2013,134,Biography,Steve Mcqueen,187733202,56671993,20000000,8.1,153,https://www.imdb.com/title/tt2024544/
Network,1976,121,Drama,Sidney Lumet,23690757,23689877,3800000,8.1,154,https://www.imdb.com/title/tt0074958/
Harry Potter and the Deathly Hallows: Part 2,2011,130,Adventure,David Yates,1342321665,381409310,125000000,8.1,155,https://www.imdb.com/title/tt1201607/
White Heat,1949,114,Action,Raoul Walsh,5534,No info,1300000,8.1,156,https://www.imdb.com/title/tt0042041/
Ben-Hur,1959,212,Adventure,William Wyler,74427638,74422622,15000000,8.1,157,https://www.imdb.com/title/tt0052618/
Dead Poets Society,1989,128,Comedy,Peter Weir,235860116,95860116,16400000,8.1,158,https://www.imdb.com/title/tt0097165/
Cool Hand Luke,1967,127,Crime,Stuart Rosenberg,No info,No info,3200000,8.1,159,https://www.imdb.com/title/tt0061512/
Inherit the Wind,1960,128,Biography,Stanley Kramer,4360000,No info,No info,8.1,160,https://www.imdb.com/title/tt0053946/
Mad Max: Fury Road,2015,120,Action,George Miller,376109824,154058340,150000000,8.1,161,https://www.imdb.com/title/tt1392190/
Song of the Sea,2014,93,Animation,Tomm Moore,4190884,857522,No info,8.1,162,https://www.imdb.com/title/tt1865505/
Ace in the Hole,1951,111,Drama,Billy Wilder,2300000,No info,1800000,8.1,163,https://www.imdb.com/title/tt0043338/
Stand by Me,1986,89,Adventure,Rob Reiner,52287414,52287414,8000000,8.1,164,https://www.imdb.com/title/tt0092005/
Million Dollar Baby,2004,132,Drama,Clint Eastwood,216763646,100492203,30000000,8.1,165,https://www.imdb.com/title/tt0405159/
Logan,2017,137,Action,James Mangold,619179950,226277068,97000000,8.1,166,https://www.imdb.com/title/tt3315342/
The Legend of 1900,1998,169,Drama,Giuseppe Tornatore,21007537,167435,9000000,8.1,167,https://www.imdb.com/title/tt0120731/
Rush,2013,123,Action,Ron Howard,96983009,26947624,38000000,8.1,168,https://www.imdb.com/title/tt1979320/
Into the Wild,2007,148,Adventure,Sean Penn,56675895,18354356,15000000,8.1,169,https://www.imdb.com/title/tt0758758/
Platoon,1986,120,Drama,Oliver Stone,138545632,138530565,6000000,8.1,170,https://www.imdb.com/title/tt0091763/
Zack Snyder's Justice League,2021,242,Action,Zack Snyder,No info,No info,No info,8.1,171,https://www.imdb.com/title/tt12361974/
Monty Python's Life of Brian,1979,94,Comedy,Terry Jones,20742331,20206622,4000000,8.1,172,https://www.imdb.com/title/tt0079470/
Sunrise,1927,94,Drama,F.W. Murnau,121107,No info,200000,8.1,173,https://www.imdb.com/title/tt0018455/
The Man Who Shot Liberty Valance,1962,123,Drama,John Ford,No info,No info,3200000,8.1,174,https://www.imdb.com/title/tt0056217/
Rebecca,1940,130,Drama,Alfred Hitchcock,72275,No info,1288000,8.1,175,https://www.imdb.com/title/tt0032976/
Soul,2020,100,Animation,Pete Docter,135435315,No info,No info,8.1,176,https://www.imdb.com/title/tt2948372/
Hotel Rwanda,2004,121,Biography,Terry George,33882243,23530892,17500000,8.1,177,https://www.imdb.com/title/tt0395169/
Spotlight,2015,129,Biography,Tom Mccarthy,98690254,45055776,20000000,8.1,178,https://www.imdb.com/title/tt1895587/
"Paris, Texas",1984,145,Drama,Wim Wenders,2206121,2181987,No info,8.1,179,https://www.imdb.com/title/tt0087884/
It Happened One Night,1934,105,Comedy,Frank Capra,No info,No info,325000,8.1,180,https://www.imdb.com/title/tt0025316/
