name,birthYear,birthCountry,trademark,directorCredits,url
Oliver Stone,1946,USA,"Has cameos in most of his films. When he does not appear, his son Sean Stone does.",32,https://www.imdb.com/name/nm0000231/
Terry Jones,1942,UK,"Often played women in Monty Python, using a screechy old harridan voice.",18,https://www.imdb.com/name/nm0001402/
F.W. Murnau,1888,Germany,Visual storytelling without intertitles.,21,https://www.imdb.com/name/nm0003638/
John Ford,1894,USA,"If a doomed character plays poker, the last hand he plays before going to his death will be the ""death hand"" (two aces, one of them the ace of spades, and two 8s; so-called because Wild Bill Hickok held this hand when he was murdered). The hand will be shown in close-up.",146,https://www.imdb.com/name/nm0000406/
Terry George,1952,UK,No info,11,https://www.imdb.com/name/nm0313623/
Tom McCarthy,1966,USA,Low-key films about disparate people who become unusual surrogate families,8,https://www.imdb.com/name/nm0565336/
Wim Wenders,1945,Germany,Shooting on location.,72,https://www.imdb.com/name/nm0000694/
John G. Avildsen,1935,USA,Underdog films complete with realistic character development and montage sequences,31,https://www.imdb.com/name/nm0000814/
Robert Aldrich,1918,USA,Extreme and often selfish leading characters,37,https://www.imdb.com/name/nm0000736/
Peter Bogdanovich,1939,USA,Always seen wearing a neck scarf,34,https://www.imdb.com/name/nm0000953/
Tate Taylor,1969,USA,Frequently casts Octavia Spencer and Allison Janney.,11,https://www.imdb.com/name/nm0853238/
Alan Parker,1944,UK,"His films often have a dark, noirish look to them. They are often lit in very dark colors.",27,https://www.imdb.com/name/nm0000570/
Garth Davis,No info,No info,Frequently works with Rooney Mara,8,https://www.imdb.com/name/nm0204628/
Martin Brest,1951,USA,No info,9,https://www.imdb.com/name/nm0000976/
Ron Clements,1953,USA,Beard,11,https://www.imdb.com/name/nm0166256/
Lewis Milestone,1895,Moldova,No info,53,https://www.imdb.com/name/nm0587277/
James Gunn,1966,USA,His spiky hair,18,https://www.imdb.com/name/nm0348181/
Alexander Mackendrick,1912,USA,No info,12,https://www.imdb.com/name/nm0533241/
Gore Verbinski,1964,USA,Frequently casts Johnny Depp.,22,https://www.imdb.com/name/nm0893659/
Richard Attenborough,1923,UK,Frequently made films with a moral message or a liberal political perspective,12,https://www.imdb.com/name/nm0000277/
William Friedkin,1935,USA,"[Car Chase] His films often feature a pivotal car chase (The French Connection (1971), To Live and Die in L.A. (1985), Jade (1995)).",38,https://www.imdb.com/name/nm0001243/
Brad Bird,1957,USA,Most of his films are set in the 1950s or a retro time period,12,https://www.imdb.com/name/nm0083348/
Lars von Trier,1956,Denmark,Often casts Charlotte Gainsbourg.,46,https://www.imdb.com/name/nm0001885/
Franklin J. Schaffner,1920,Japan,Frequently directed films based off books.,36,https://www.imdb.com/name/nm0769874/
Gary Trousdale,1960,USA,Films rarely contain opening credits,14,https://www.imdb.com/name/nm0873779/
Robert Wise,1914,USA,No info,42,https://www.imdb.com/name/nm0936404/
Harold Ramis,1944,USA,Deep resonant voice,14,https://www.imdb.com/name/nm0000601/
Morten Tyldum,1967,Norway,No info,21,https://www.imdb.com/name/nm0878763/
Richard Kelly,1975,USA,"Frequently casts Beth Grant, Holmes Osborne, and Lisa K. Wyatt",5,https://www.imdb.com/name/nm0446819/
Otto Preminger,1905,Ukraine,"Bald, clean-shaven head",44,https://www.imdb.com/name/nm0695937/
Mel Brooks,1926,USA,His main characters often stop and sarcastically direct a line to the camera/audience,11,https://www.imdb.com/name/nm0000316/
Kevin Costner,1955,USA,Frequently appears in Westerns,3,https://www.imdb.com/name/nm0000126/
Byron Howard,1968,Japan,"The protagonists are usually an optimist and their cynical friend, ending with the cynic becoming more open",8,https://www.imdb.com/name/nm0397174/
Paul Greengrass,1955,UK,Stories based on real-life events.,21,https://www.imdb.com/name/nm0339030/
Barry Levinson,1942,USA,Film editing by Stu Linder in the majority of his films.,44,https://www.imdb.com/name/nm0001469/
Joss Whedon,1964,USA,"Frequent use of nouns as adjectives, by adding the suffix ""-y""",14,https://www.imdb.com/name/nm0923736/
Charles Laughton,1899,UK,"Powerful, penetrating shouting voice, developed during his stage-acting time",2,https://www.imdb.com/name/nm0001452/
Robert Hamer,1911,UK,No info,16,https://www.imdb.com/name/nm0357607/
Jacques Tourneur,1904,France,No info,75,https://www.imdb.com/name/nm0869664/
Mike Nichols,1931,Germany,"Often includes extremely long starting and/or ending shots taken from high in the air, for example Working Girl (1988) and Angels in America (2003).",22,https://www.imdb.com/name/nm0001566/
Gabriele Muccino,1967,Italy,Character named Ristuccia.,23,https://www.imdb.com/name/nm0610831/
Edward Zwick,1952,USA,"In terms of television, has frequently worked with Marshall Herskovitz",27,https://www.imdb.com/name/nm0001880/
Spike Jonze,1969,USA,Green and blue tinged scenes lit by fluorescents,106,https://www.imdb.com/name/nm0005069/
Norman Jewison,1926,Canada,No info,44,https://www.imdb.com/name/nm0422484/
Richard Brooks,1912,USA,No info,26,https://www.imdb.com/name/nm0112218/
Tom Hooper,1972,UK,Often directs historical dramas and period pieces,23,https://www.imdb.com/name/nm0393799/
Howard Hawks,1896,USA,"His female characters are frequently ""just one of the guys,"" coining the term ""Hawksian Women.""",47,https://www.imdb.com/name/nm0001328/
Billy Bob Thornton,1955,USA,Southern American accent,6,https://www.imdb.com/name/nm0000671/
Woody Allen,1935,USA,"Films his dialog using long, medium-range shots instead of the typical intercut  close-ups",55,https://www.imdb.com/name/nm0000095/
Henry Selick,1952,USA,[stop motion] Uses stop motion puppets or special effects in all of his films.,13,https://www.imdb.com/name/nm0783139/
